ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,apnea,tags,notes
2023-02-07T20:59:59-05:00,"Monday, Feb 6, 2023","Tuesday, Feb 7, 2023",2023-02-07 03:30:00,2023-02-07 12:20:00,08:50:00,00:51:00,00:00:00,1,07:59:00,07:48:17,90.4,95.4,05:54:20,05:37:33,02:29:41,02:25:21,50.6,49.0,63.2,63.6,49.0,45.0,131,111,51,70,,,,,,,,,
2023-02-08T20:59:59-05:00,"Tuesday, Feb 7, 2023","Wednesday, Feb 8, 2023",2023-02-08 03:00:00,2023-02-08 11:52:00,08:52:00,00:26:00,00:00:00,1,08:26:00,07:59:51,95.1,94.7,06:32:26,05:46:52,03:04:00,02:27:47,50.2,49.4,67.1,65.1,54.0,46.1,172,124,112,76,,,,,,,,,
2023-02-09T20:59:59-05:00,"Wednesday, Feb 8, 2023","Thursday, Feb 9, 2023",2023-02-09 02:15:00,2023-02-09 11:59:00,10:13:00,00:40:00,00:00:00,2,09:33:00,08:04:25,93.2,94.2,06:02:29,05:37:24,01:42:55,02:09:22,50.2,50.0,66.2,64.9,48.0,46.9,165,128,111,78,,,,,,,,,
2023-02-10T20:59:59-05:00,"Thursday, Feb 9, 2023","Friday, Feb 10, 2023",2023-02-10 02:30:00,2023-02-10 10:30:00,08:00:00,00:12:00,00:00:00,1,07:48:00,08:08:17,97.5,94.5,06:29:31,05:49:27,03:38:24,02:25:52,49.2,50.2,63.4,63.9,46.0,47.1,207,145,127,86,,,,,,,,,
2023-02-11T20:59:59-05:00,"Friday, Feb 10, 2023","Saturday, Feb 11, 2023",2023-02-11 03:57:00,2023-02-11 10:54:00,06:57:00,00:00:00,00:00:00,1,06:57:00,08:12:17,100.0,94.5,05:27:56,05:54:11,02:03:33,02:24:17,49.1,51.1,68.6,65.1,46.0,47.6,105,149,73,88,,,,,,,,,
2023-02-12T20:59:59-05:00,"Saturday, Feb 11, 2023","Sunday, Feb 12, 2023",2023-02-12 05:09:00,2023-02-12 12:07:00,06:58:00,01:36:00,00:00:00,1,05:22:00,08:00:51,77.0,92.4,04:07:37,05:48:56,01:01:20,02:19:47,62.2,51.6,86.5,67.8,54.0,49.0,146,162,71,91,,,,,,,,,
2023-02-13T20:59:59-05:00,"Sunday, Feb 12, 2023","Monday, Feb 13, 2023",2023-02-13 00:30:00,2023-02-13 11:06:00,10:36:00,01:36:00,00:00:00,1,09:00:00,07:52:08,84.9,91.2,06:08:24,05:48:58,01:35:18,02:13:35,51.2,51.8,64.5,68.5,47.0,49.1,98,146,59,86,,,,,,,,,
2023-02-14T20:59:59-05:00,"Monday, Feb 13, 2023","Tuesday, Feb 14, 2023",2023-02-14 03:15:00,2023-02-14 08:52:00,05:37:00,00:04:00,00:00:00,1,05:33:00,07:31:17,98.8,92.4,04:25:37,05:36:17,02:22:43,02:12:36,46.7,51.3,,,36.0,47.3,129,146,94,92,,,,,,,,,
2023-02-16T20:59:59-05:00,"Wednesday, Feb 15, 2023","Thursday, Feb 16, 2023",2023-02-16 01:31:00,2023-02-16 10:15:00,08:44:00,00:27:00,00:00:00,1,08:17:00,07:30:00,94.8,92.3,05:51:53,05:30:30,02:35:19,02:08:30,52.5,51.6,70.1,70.6,48.0,46.4,182,147,92,90,,,,,,,,,
2023-02-17T20:59:59-05:00,"Thursday, Feb 16, 2023","Friday, Feb 17, 2023",2023-02-17 02:30:00,2023-02-17 10:44:00,08:14:00,00:27:00,00:00:00,1,07:47:00,07:14:51,94.5,92.5,05:51:50,05:28:58,02:40:32,02:16:44,52.9,52.0,68.3,70.9,55.0,47.4,121,141,79,85,,,,,,,,,
